,F1,AUROC,precision,recall
ARMD,0.5833333,0.9298511,0.59187853,0.5
ASR,0,0.84810126,0.07165061,0
BRVO,0.95238096,0.9741936,0.91763794,0.90909094
CNV,0.44444445,0.96246004,0.4587047,0.5
CRS,0,0.9858934,0.20192307,0
CRVO,0.4,0.8685168,0.43408164,0.2857143
CSR,0.6666667,0.99523807,0.8972222,0.6666667
DN,0.5531915,0.9004401,0.6611359,0.7222222
DR,0.68085104,0.94778585,0.7823541,0.7111111
HTR,0.15384616,0.8275132,0.13806283,0.16666667
LS,0,0.9675052,0.14989178,0
MH,0.5625,0.8858804,0.6701095,0.45
MYA,0.7368421,0.98361826,0.78084505,0.7777778
NORMAL,0.7808219,0.943252,0.8640069,0.76
ODC,0.7241379,0.9624511,0.7411247,0.8076923
ODE,0.6666667,0.9958199,0.8809267,0.8
ODP,0.4,0.8134172,0.3660241,0.33333334
OTHER,0.53731346,0.84215796,0.5823071,0.58064514
RS,0.7692308,0.9484824,0.69165665,0.625
TSLN,0.32,0.9604467,0.44061357,0.2857143
