,F1,AUROC,precision,recall
ARMD,0.37037036,0.8313168,0.31674883,0.35714287
ASR,0,0.67025316,0.027888414,0
BRVO,0.85714287,0.98533726,0.85989976,0.8181818
CNV,0.5263158,0.9748402,0.4847493,0.625
CRS,0,0.30094045,0.017072232,0
CRVO,0.46153846,0.905596,0.4321435,0.42857143
CSR,0.6666667,0.9899471,0.6848596,0.6666667
DN,0.4117647,0.7887789,0.30440804,0.3888889
DR,0.64646465,0.9269727,0.7389855,0.7111111
HTR,0,0.6256614,0.09533845,0
LS,0.33333334,0.9454927,0.4337232,0.33333334
MH,0.6086956,0.92242527,0.6222166,0.7
MYA,0.8888889,0.99109685,0.73328924,0.8888889
NORMAL,0.80794704,0.9533333,0.8977563,0.81333333
ODC,0.58536583,0.85332465,0.5668312,0.46153846
ODE,0.5,0.9848875,0.51195097,0.5
ODP,0,0.730608,0.05454997,0
OTHER,0.3943662,0.7636262,0.36435246,0.4516129
RS,0.42857143,0.8498403,0.4042687,0.375
TSLN,0.4375,0.8601675,0.29221895,0.5
