,F1,AUROC,precision,recall
ARMD,0.3809524,0.8624942,0.42819035,0.2857143
ASR,0,0.7136076,0.04109528,0
BRVO,0.85714287,0.9876833,0.9235537,0.8181818
CNV,0.42857143,0.938099,0.5370192,0.375
CRS,0,0.7570533,0.023057643,0
CRVO,0.42857143,0.9515468,0.3815635,0.42857143
CSR,0.8333333,0.99153435,0.79999995,0.8333333
DN,0.4827586,0.840484,0.44403476,0.3888889
DR,0.74725276,0.9571659,0.8208402,0.75555557
HTR,0,0.80978835,0.10126741,0
LS,0,0.9895178,0.625,0
MH,0.61904764,0.95755816,0.6706998,0.65
MYA,0.6,0.97115386,0.5597222,0.6666667
NORMAL,0.7784431,0.9399459,0.8421745,0.8666667
ODC,0.5,0.9309647,0.6022956,0.46153846
ODE,0.64,0.98585206,0.73970777,0.8
ODP,0,0.7190776,0.08970276,0
OTHER,0.47058824,0.83570635,0.45108053,0.516129
RS,0.71428573,0.95487213,0.6435928,0.625
TSLN,0.32258064,0.9257794,0.3100094,0.35714287
