,F1,AUROC,precision,recall
ARMD,0.3846154,0.9455561,0.48508072,0.35714287
ASR,0,0.86455697,0.046795525,0
BRVO,0.90909094,0.98856306,0.92663485,0.90909094
CNV,0.5882353,0.9840255,0.6745023,0.625
CRS,0,0.97021943,0.1736111,0
CRVO,0.5,0.9390355,0.57840675,0.42857143
CSR,0.6,0.9925926,0.8409091,1
DN,0.5,0.8771544,0.46865326,0.44444445
DR,0.7291667,0.94681966,0.7420634,0.7777778
HTR,0,0.82116395,0.16264257,0
LS,0,0.9779874,0.37878788,0
MH,0.68421054,0.9337209,0.75486624,0.65
MYA,0.7058824,0.988604,0.7092593,0.6666667
NORMAL,0.7586207,0.94826555,0.8807857,0.88
ODC,0.5365854,0.9,0.61978614,0.42307693
ODE,0.7368421,0.96848875,0.80253017,0.7
ODP,0.6666667,0.9528302,0.68390805,0.6666667
OTHER,0.5964912,0.86779755,0.6357912,0.5483871
RS,0.53333336,0.9197284,0.5574796,0.5
TSLN,0.4827586,0.9688227,0.41990247,0.5
