,F1,AUROC,precision,recall
ARMD,0.47619048,0.9527687,0.62789416,0.35714287
ASR,0,0.8689874,0.05568153,0
BRVO,0.95238096,0.99120235,0.9340909,0.90909094
CNV,0.47058824,0.8933706,0.4897284,0.5
CRS,0.8,0.99843264,0.8333334,1
CRVO,0.42857143,0.9681529,0.45543444,0.42857143
CSR,0.61538464,0.9883598,0.7236273,0.6666667
DN,0.30769232,0.8122479,0.33357412,0.22222222
DR,0.7647059,0.955153,0.80634737,0.8666667
HTR,0,0.9322751,0.18212001,0
LS,0,0.95597494,0.2603486,0
MH,0.74285716,0.9686047,0.8026252,0.65
MYA,0.7368421,0.98575497,0.60547614,0.7777778
NORMAL,0.78651685,0.95506775,0.8892013,0.93333334
ODC,0.60465115,0.9548892,0.6255191,0.5
ODE,0.625,0.9926045,0.677076,0.5
ODP,0,0.84067094,0.083130084,0
OTHER,0.44067797,0.8195773,0.45827395,0.41935483
RS,0.5263158,0.92292327,0.56842947,0.625
TSLN,0.62068963,0.9644021,0.58848596,0.64285713
